name,trainee_entry_requirements,section1_jobs,chronic_illness,hearing,learning,mental/intellectual,multiple,orthopedic,psychosocial,speech_impairment,visual,disability_tagging,sector
Grains Production NC II,"Able to read and write
Able to communicate, both orally and in writing
Basic mathematical skills
Physically able","Rice/Corn Farmer, Rice/Corn Grower, Participate in workplace communication, Work in team environment, Practice career professionalism, Practice occupational health and safety procedures, Apply safety measures in farm operations, Use farm tools and equipment, Perform estimation and basic calculation, Conduct variety and seed selection, Perform land preparation, Carry-out crop establishment, Manage crop, Conduct of harvest and post-harvest operations",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['Speech Impairment'],"Agriculture, Forestry and Fishery"
Hairdressing NC II,"Must be able to communicate effectively both orally and in written form. Must be physically, emotionally and mentally fit. Must be able to perform basic mathematical computations (Fundamental Operations). Must secure a medical certificate for fitness to handle chemicals. Note to students: Because many chemical sprays and airborne pollutants are found in this qualification, students are advised to consult their physicians as to possible problems (i.e., allergies, asthma, dermatitis, etc.) before enrolling.","Junior Assistant, Colorist, Permist, Make-up Artist, Haircutter, Hairstylist",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['Speech Impairment'],"Social, Community Development and Other Services"
Health Care Services NC II,"16 years old and above
Must pass the trainability / aptitude test
Can communicate effectively both orally and in written form
Physically, emotionally and mentally fit
Can perform basic mathematical computation","Nursing Attendant, Nursing Aide, Hospital Assistant, Health Aide",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Psychosocial'],Human Health / Health Care
HEO (Backhoe Loader) NC II,"Can communicate both oral and written (English or Tagalog)
Physically and mentally fit
Can perform basic mathematical computation.",Backhoe loader operator,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"['Chronic Illness', 'Orthpedic', 'Speech Impairment']",Construction
HEO (Forklift) NC II,At least Junior High School Level Completer or an Alternative Learning System (ALS) Certificate of Completion with grade 10 equivalent holder. Must possess good communication skills. Can perform basic mathematical computation. Physically fit.,Forklift operator,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"['Chronic Illness', 'Orthpedic']",Construction
HEO (Hydraulic Excavator) NC II,At least Junior High School Level Completer or an Alternative Learning System (ALS) Certificate of Completion with grade 10 equivalent holder. Must possess good communication skills. Can perform basic mathematical computation. Physically fit.,Hydraulic excavator operator,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Psychosocial'],Construction
HEO (Rigid On-Highway Dump Truck) NC II,"At least Junior High School Level Completer or an Alternative Learning System (ALS) Certificate of Completion with grade 10 equivalent holder
Must possess good communication skills
Can perform basic mathematical computation
Driver’s License (Restriction 2 or 3)
Physically fit",Rigid on-highway dump truck operator,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Psychosocial', 'Visual']",Construction
HEO (Rough Terrain Crane) NC II,"Can communicate both orally and in writing
Physically and mentally fit
With good moral character
Can perform basic mathematical computations.",Rough-terrain crane operator,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Psychosocial'],Construction
HEO (Truck Mounted Crane) NC II,"Can communicate both orally and in writing
Physically and mentally fit
With good moral character
Can perform basic mathematical computation.",Truck-mounted crane operator,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Psychosocial'],Construction
Hilot (Wellness Massage) NC II,"18 years old and above
Must pass the personality / aptitude test
Can communicate effectively both oral and written form
Physically, emotionally and mentally fit
Good moral character",Hilot (Wellness) Massage Therapist,0.0,0.0,0.0,0.0,0.0,4.0,1.0,22.0,6.0,"['Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Human Health / Health Care
Housekeeping NC II,"can communicate in English both oral and written; can perform basic mathematical computation. This list does not include specific institutional requirements such as educational attainment, appropriate work experience and others that may be required of the trainees by the school or training center delivering the TVET program.","Junior Cleaner, Assistant Cleaner, Assistant Public Area Cleaner, Cleaner, Public Area Cleaner, Attendant, Room/Cabin Attendant/Room Maid, Laundry Attendant, Housekeeping Attendant, Butler",1.0,2.0,0.0,0.0,1.0,4.0,9.0,1.0,1.0,"['Chronic Illness', 'Hearing', 'Multiple', 'Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Tourism (Hotel and Restaurant)
Housekeeping NC III,"can communicate in basic English in both oral and written form, physically and mentally fit, with good moral character, can perform basic mathematical computation, must have completed training in Housekeeping NCII or equivalent; or have had at least six months’ experience as room attendant","Housekeeping Supervisor, Floor Supervisor",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['Visual'],Tourism (Hotel and Restaurant)
Masonry NC I,Trainees or students who wish to enter this training should possess the following requirements: Can communicate both orally and in writing. Can perform basic arithmetic operations. Physically fit.,"Helper Mason, Construction Helper",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Psychosocial'],Construction
Masonry NC II,"can communicate either orally and written
physically and mentally fit
with good moral character
can perform basic mathematical computation and mensuration",Mason,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,"['Chronic Illness', 'Psychosocial']",Construction
Massage Therapy NC II,Must have finished 10 years of basic education or Alternative Learning System (ALS) equivalent. Must be able to communicate both orally and in writing. Can perform basic mathematical computations.,Massage Therapist,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,52.0,"['Multiple', 'Speech Impairment', 'Visual']",Human Health / Health Care
MotorcycleSmall Engine Servicing NC II,Can communicate both oral and written; Can perform basic mathematical computation. At least Senior High School (Grade 11) level; At least holder of Student Permit or LTO license (Restriction Code 1),"Motorcycle /Small Engine Mechanic, Small Engine Mechanic",1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,3.0,"['Chronic Illness', 'Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",
Organic Agriculture Production NC II,"Able to read and write; With good moral character; Ability to communicate, both oral and written; Physically fit and mentally healthy as certified by a Public Health Officer","Organic Agriculture Farmer, Organic Chicken Raiser, Organic Hogs Raiser, Organic Small Ruminants Raiser, Organic Vegetables Farmer, Organic Concoctions and Extracts Producer, Organic Fertilizer Producer",2.0,2.0,1.0,0.0,0.0,45.0,12.0,5.0,9.0,"['Chronic Illness', 'Hearing', 'Learning', 'Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']","Agriculture, Forestry and Fishery"
Plumbing NC II,At least Senior High School (Grade 11 & 12) level or graduate; Holder of Plumbing NC I or relevant industry experience (plumbing works) for a minimum of 2 years certified by the employer or a Registered Master Plumber; Able to communicate orally and in writing; Can perform basic mathematical computations.,Plumber II,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,"['Chronic Illness', 'Orthpedic', 'Psychosocial', 'Visual']",Construction
PV Systems Installation NC II,"This section specifies the qualifications of trainees and educational experience. Other requirements like health and physical requirements are also stated. Passing entry written examinations may also be indicated if necessary. To qualify as trainee for PV Systems Installation Technician NC II, a candidate must possess the following: Can communicate both orally and in written. Physically and mentally fit to undergo training. At least 18 years old.","PV Systems Installation Technician, PV Systems Commissioning Technician",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,['Orthpedic'],Construction
RAC Servicing (DomRAC) NC II,"Can communicate both oral and written
Good moral character
Can perform basic mathematical computation
Physically and mentally fit",Domestic Refrigeration and Air-conditioning Technician,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,['Orthpedic'],"Heating, Ventilation, Airconditioning and Refrigeration"
Rice Machinery Operations NC II,"Able to read and write; With good moral character; Ability to communicate, both oral and written; and Physically fit and mentally healthy as certified by a Public Health Officer","Rice Land Preparation Machinery Operator (Hand Tractor, 4-Wheel Tractor), Rice Crop Establishment Machinery Operator (Manual Seeder, Motorized Seeder, Rice Transplanter), Rice Crop Care Machinery Operator (Irrigation Pump, Cultivator, Sprayer, Fertilizer Applicator), Rice Harvesting and Threshing Machinery Operator (Reaper, Stripper, Combine, Thresher), Rice Drying Machinery Operator (Batch, Continuous Flow Dryer), Rice Mill Machinery Operator (Single-Pass, Multi-Pass), Rice Machinery Operator",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,"['Speech Impairment', 'Visual']","Agriculture, Forestry and Fishery"
Scaffolding Works (Supported Type Scaffold) NC II,Trainees or students who wish to enter this training should possess the following requirements: Can communicate both orally and in writing. Physically fit. Can perform basic mathematical computation and mensuration.,"Erect and dismantle supported type scaffold, Handle, segregate and stack scaffolding components, Scaffolder",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,['Psychosocial'],Construction
Shielded Metal Arc Welding (SMAW) NC I,"can communicate either oral and written, physically and mentally fit, with good moral character, can perform basic mathematical computation",Plate Welder (SMAW),4.0,1.0,0.0,1.0,3.0,25.0,8.0,12.0,2.0,"['Chronic Illness', 'Hearing', 'Mental/Intellectual', 'Multiple', 'Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Metals and Engineering
Shielded Metal Arc Welding (SMAW) NC II,"completed training in SMAW NC I or a holder of SMAW NC I
can communicate both oral and written
physically and mentally fit
can perform basic mathematical computation",SMAW Welder,1.0,0.0,0.0,0.0,1.0,25.0,8.0,7.0,2.0,"['Chronic Illness', 'Multiple', 'Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Metals and Engineering
Shielded Metal Arc Welding (SMAW) NC III,"Must have completed training in SMAW NC II or a holder of SMAW NC II
Can communicate either orally and written
Physically and mentally fit
With good moral character
Can perform basic mathematical computation","Plate Welder (SMAW), Pipe Welder (SMAW), Plate Welder (SMAW - Alloy Steel)",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,['Orthpedic'],Metals and Engineering
Ship_s Catering Services  NC I,"Must be High School graduate
18 years old and above
Must have a good moral character
Must be physically and mentally fit as per MLC 2006 Regulation 1.2 - Medical Certificate
Can communicate in English both oral and written",Messman,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,"['Psychosocial', 'Visual']",Maritime
Slaughtering Operations (Swine) NC II,"Must have completed 10 years basic education
Can communicate both orally and in writing",Slaughterhouse Butcher (Swine),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,['Visual'],Processed Food & Beverages
Tailoring NC II,"can communicate both oral and written, physically and mentally fit, with good moral character, can perform basic mathematical computation","Tailor, Garment Sewer",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['Speech Impairment'],Garments
Technical Drafting NC II,"Good moral character
Ability to communicate
Physically fit and mentally healthy
Can perform basic mathematical computation and mensuration","Draftsman, CAD operator",0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,"['Learning', 'Orthpedic', 'Psychosocial', 'Visual']",Construction
Tile Setting NC II,"Good moral character
Ability to communicate
Physically fit and mentally healthy
Can perform basic mathematical computation and mensuration",Tile-Setter,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,"['Orthpedic', 'Psychosocial', 'Speech Impairment', 'Visual']",Construction
